ID,Name,Category,Price
1,Item_1,Electronics,161.21
2,Item_2,Books,412.28
3,Item_3,Sports,284.86
4,Item_4,Books,175.31
5,Item_5,Sports,178.57
6,Item_6,Clothing,145.98
7,Item_7,Clothing,417.38
8,Item_8,Beauty,249.79
9,Item_9,Toys,65.3
10,Item_10,Automotive,348.27
11,Item_11,Sports,31.76
12,Item_12,Home & Kitchen,443.36
13,Item_13,Books,286.43
14,Item_14,Sports,497.72
15,Item_15,Toys,80.09
16,Item_16,Beauty,468.16
17,Item_17,Books,365.06
18,Item_18,Clothing,332.12
19,Item_19,Beauty,182.92
20,Item_20,Books,107.36
21,Item_21,Sports,12.86
22,Item_22,Beauty,414.38
23,Item_23,Beauty,376.11
24,Item_24,Automotive,108.08
25,Item_25,Electronics,460.08
26,Item_26,Toys,13.11
27,Item_27,Clothing,344.76
28,Item_28,Automotive,460.73
29,Item_29,Electronics,254.48
30,Item_30,Beauty,334.53
31,Item_31,Books,88.76
32,Item_32,Sports,124.59
33,Item_33,Books,40.0
34,Item_34,Toys,242.32
35,Item_35,Home & Kitchen,83.07
36,Item_36,Toys,289.45
37,Item_37,Clothing,318.51
38,Item_38,Automotive,38.38
39,Item_39,Electronics,299.11
40,Item_40,Books,309.95
41,Item_41,Books,139.33
42,Item_42,Clothing,18.28
43,Item_43,Automotive,131.6
44,Item_44,Books,20.33
45,Item_45,Books,443.67
46,Item_46,Clothing,209.43
47,Item_47,Electronics,97.92
48,Item_48,Books,7.64
49,Item_49,Sports,284.02
50,Item_50,Beauty,320.38
51,Item_51,Books,189.13
52,Item_52,Clothing,454.2
53,Item_53,Books,291.53
54,Item_54,Electronics,136.37
55,Item_55,Beauty,19.16
56,Item_56,Beauty,181.52
57,Item_57,Clothing,82.64
58,Item_58,Electronics,26.86
59,Item_59,Home & Kitchen,84.58
60,Item_60,Home & Kitchen,149.59
61,Item_61,Beauty,147.97
62,Item_62,Home & Kitchen,102.77
63,Item_63,Sports,228.76
64,Item_64,Toys,257.1
65,Item_65,Home & Kitchen,240.69
66,Item_66,Toys,259.55
67,Item_67,Books,269.55
68,Item_68,Home & Kitchen,482.24
69,Item_69,Books,84.94
70,Item_70,Clothing,62.61
71,Item_71,Toys,47.58
72,Item_72,Electronics,83.0
73,Item_73,Home & Kitchen,186.58
74,Item_74,Sports,474.8
75,Item_75,Books,97.92
76,Item_76,Automotive,79.9
77,Item_77,Books,249.81
78,Item_78,Beauty,221.19
79,Item_79,Clothing,491.46
80,Item_80,Beauty,449.66
81,Item_81,Sports,425.66
82,Item_82,Sports,149.92
83,Item_83,Books,54.1
84,Item_84,Automotive,233.15
85,Item_85,Home & Kitchen,379.82
86,Item_86,Books,457.85
87,Item_87,Books,347.78
88,Item_88,Books,421.54
89,Item_89,Books,415.15
90,Item_90,Clothing,383.26
91,Item_91,Automotive,239.32
92,Item_92,Home & Kitchen,347.2
93,Item_93,Electronics,190.76
94,Item_94,Sports,265.47
95,Item_95,Automotive,447.11
96,Item_96,Beauty,398.97
97,Item_97,Sports,49.1
98,Item_98,Sports,66.03
99,Item_99,Sports,42.6
100,Item_100,Home & Kitchen,307.81
101,Item_101,Sports,124.03
102,Item_102,Clothing,269.55
103,Item_103,Electronics,145.46
104,Item_104,Automotive,40.4
105,Item_105,Beauty,135.15
106,Item_106,Toys,186.52
107,Item_107,Home & Kitchen,325.18
108,Item_108,Books,237.67
109,Item_109,Clothing,280.03
110,Item_110,Clothing,256.74
111,Item_111,Electronics,35.9
112,Item_112,Books,23.66
113,Item_113,Home & Kitchen,129.6
114,Item_114,Electronics,92.87
115,Item_115,Automotive,158.86
116,Item_116,Home & Kitchen,438.91
117,Item_117,Books,71.74
118,Item_118,Automotive,335.47
119,Item_119,Sports,124.51
120,Item_120,Clothing,462.53
121,Item_121,Books,199.46
122,Item_122,Beauty,174.05
123,Item_123,Beauty,41.63
124,Item_124,Clothing,203.76
125,Item_125,Beauty,318.32
126,Item_126,Beauty,461.7
127,Item_127,Sports,224.95
128,Item_128,Clothing,473.29
129,Item_129,Automotive,360.88
130,Item_130,Home & Kitchen,308.49
131,Item_131,Sports,292.85
132,Item_132,Home & Kitchen,82.33
133,Item_133,Books,155.14
134,Item_134,Electronics,216.03
135,Item_135,Sports,176.43
136,Item_136,Sports,43.02
137,Item_137,Electronics,83.4
138,Item_138,Automotive,325.76
139,Item_139,Automotive,323.3
